Date d'Affectation,Poste,Matricule,Arrêt,Qualité,Horaire,Type,Remplacant,Jour,Placement,Jr_pl
,150,380,,,Jour,,1395,6,,
,311,381,,,Jour,,1564,7,,
,591,382,,,Jour,,58,7,,
,356,384,,,Jour,,1510,7,,
,685,385,,,Jour,,91,6,,
,2,386,,,Jour,,19,7,,
,303,387,,,Jour,,216,5,,
,659,388,,,Jour,,1575,5,,
,128,389,,,Jour,,98,1,,
,572,390,,,Jour,,1832,7,,
,661,391,17/08/2014,,Jour,,1446,4,,
,101,392,,,Jour,,1590,6,,
,101,393,,,Jour,,1471,7,,
,102,394,,,Jour,,1409,7,,
,407,395,04/08/2014,,Jour,,319,5,,
25/08/2014,407,395,,,Jour,,1547,5,,
,119,396,,,Jour,,1593,1,,
,216,397,,,Jour,,1636,6,,
,684,398,,,Jour,,590,1,,
,9,399,,,Jour,,600,3,,
,634,400,,,Jour,,1617,7,,
,558,401,01/08/2014,,Jour,,122,6,,
21/08/2014,558,401,,,Jour,,122,6,,
,664,403,,,Jour,,1811,7,,
,107,404,,,Jour,,1615,7,,
,107,405,15/08/2014,,Jour,,1615,6,,
,381,406,,,Jour,,1774,6,,
,134,407,,,Jour,,1352,4,,
,791,408,,,Jour,,1716,7,,
,344,409,,,Jour,,1373,5,,
,740,410,,,Jour,,765,4,,
,95,411,,,Jour,,1693,5,,
,843,412,,,Jour,,1075,6,,
,548,413,,,Jour,,1511,6,,
,818,414,,,Jour,,1477,7,,
,827,415,,,Jour,,145,6,,
,228,416,11/08/2014,,Jour,,82,5,,
14/08/2014,541,416,,,Jour,,24,5,,
,117,418,,,Jour,,1774,4,,
,108,419,,,Jour,,1678,6,,
,674,420,,,Jour,,765,2,,
,866,421,,,Jour,,1348,7,,
,258,427,,,Jour,,165,7,,
,96,428,,,Jour,,147,6,,
,740,429,06/08/2014,,Jour,,1345,7,,
,691,430,,,Jour,,897,7,,
,46,431,,,Jour,,1345,1,,
,61,432,,,Jour,,101,6,,
,848,433,,,Jour,,149,7,,
,680,434,,,Jour,,1446,6,,
,82,435,,,Jour,,1832,1,,
,567,436,,,Jour,,279,7,,
,633,437,,,Jour,,189,1,,
,858,438,,,Jour,,149,5,,
,286,439,,,Jour,,902,7,,
,112,440,,,Jour,,177,6,,
,211,441,,,Jour,,1808,6,,
,454,442,,,Jour,,1763,7,,
,376,443,,,Jour,,374,2,,
,397,444,,,Jour,,1140,5,,
,451,445,,,Jour,,1200,5,,
,717,446,,,Jour,,1801,5,,
05/08/2014,407,447,06/08/2014,,Jour,,1547,5,,
10/08/2014,917,447,16/08/2014,,Jour,,,,,
,657,447,04/08/2014,,Jour,,23,7,,
,260,448,,,Jour,,1116,5,,
,511,449,,,Jour,,147,7,,
22/08/2014,27,450,,,Jour,,1557,2,,
,834,450,22/08/2014,,Jour,,149,7,,
,138,451,25/08/2014,,Jour,,1377,6,,
,139,452,,,Jour,,1280,6,,
,692,453,,,Jour,,66,6,,
,142,455,11/08/2014,,Jour,,179,7,,
,343,456,,,Jour,,282,3,,
,344,457,,,Jour,,1373,2,,
,604,459,,,Jour,,14,6,,
,611,460,,,Jour,,14,7,,
,593,461,,,Jour,,1805,6,,
,706,462,,,Jour,,1610,6,,
,244,465,,,Jour,,1636,7,,
,847,466,,,Jour,,175,7,,
,607,467,,,Jour,,14,2,,
,208,468,,,Jour,,1744,3,,
,465,469,,,Jour,,1655,7,,
,146,476,,,Jour,,1532,7,,
,541,477,,,Jour,,24,7,,
,697,478,,,Jour,,1502,6,,
,468,479,,,Jour,,896,7,,
,716,480,,,Jour,,1744,4,,
,196,481,16/08/2014,,Jour,,1793,6,,
21/08/2014,196,481,,,Jour,,1793,6,,
,468,482,,,Jour,,523,7,,
,209,483,,,Jour,,903,3,,
,373,484,,,Jour,,1592,6,,
,8,485,,,Jour,,163,6,,
,501,486,,,Jour,,1244,6,,
,608,487,,,Jour,,1702,4,,
,65,488,,,Jour,,905,2,,
,330,489,,,Jour,,1502,7,,
,153,490,,,Jour,,1525,2,,
,640,491,,,Jour,,1811,7,,
,844,492,,,Jour,,1382,5,,
,382,493,,,Jour,,106,7,,
,324,494,,,Jour,,136,5,,
,784,495,,,Jour,,373,7,,
,324,496,31/07/2014,,Jour,,1227,3,,
,430,497,,,Jour,,1144,6,,
,326,498,22/08/2014,,Jour,,1773,1,,
,929,498,,,Jour,,,,,
,843,499,,,Jour,,425,5,,
,324,500,04/08/2014,,Jour,,891,5,,
,480,501,,,Jour,,1493,6,,
,786,503,,,Jour,,1815,7,,
,474,504,,,Jour,,1687,5,,
,535,505,,,Jour,,224,5,,
,116,506,,,Jour,,1768,1,,
,341,507,16/08/2014,,Jour,,1524,1,,
,480,508,,,Jour,,1556,2,,
,840,509,,,Jour,,1865,7,,
,474,510,,,Jour,,2017,6,,
,621,511,,,Jour,,1559,6,,
,768,512,,,Jour,,1483,5,,
,161,513,,,Jour,,912,7,,
,780,514,,,Jour,,30,6,,
,403,515,,,Jour,,283,6,,
05/08/2014,239,516,,,Jour,,1999,7,,
,48,516,06/08/2014,,Jour,,1616,7,,
,665,517,,,Jour,,1406,5,,
,233,518,,,Jour,,1795,6,,
,452,519,,,Jour,,1944,7,,
,253,520,,,Jour,,1706,5,,
,742,521,05/08/2014,,Jour,,565,6,,
,473,522,,,Jour,,117,7,,
,798,529,,,Jour,,108,7,,
,467,530,,,Jour,,1575,7,,
,209,531,,,Jour,,913,4,,
,163,532,,,Jour,,1557,7,,
,155,533,,,Jour,,1243,7,,
,367,534,,,Jour,,41,5,,
04/08/2014,64,535,,,Jour,,71,7,,
,67,535,15/08/2014,,Jour,,902,5,,
,534,536,,,Jour,,1441,6,,
,152,537,,,Jour,,2,7,,
,182,538,,,Jour,,1496,5,,
,822,539,,,Jour,,1581,1,,
,317,540,,,Jour,,70,2,,
,583,541,,,Jour,,91,4,,
,172,542,,,Jour,,160,6,,
,40,543,,,Jour,,1702,3,,
,558,544,,,Jour,,1879,7,,
03/08/2014,546,545,,,Jour,,1787,7,,
,546,545,03/08/2014,,Jour,,7,7,,
,528,546,,,Jour,,1335,7,,
,302,547,31/07/2014,,Jour,,82,6,,
22/08/2014,347,547,,,Jour,,88,7,,
01/08/2014,887,547,01/08/2014,,Jour,,,,,
02/08/2014,910,548,,,Jour,,,,,
,912,548,14/08/2014,,Jour,,,,,
,796,548,31/07/2014,,Jour,,897,1,,
,695,549,,,Jour,,1978,2,,
,457,550,,,Jour,,4,7,,
02/08/2014,887,551,,,Jour,,82,6,,
,649,551,31/07/2014,,Jour,,171,7,,
,817,552,,,Jour,,122,5,,
,177,553,,,Jour,,1534,6,,
,532,554,,,Jour,,892,7,,
,500,555,,,Jour,,71,2,,
,403,556,,,Jour,,283,7,,
,144,557,,,Jour,,107,7,,
,728,558,,,Jour,,1727,6,,
,605,559,,,Jour,,54,7,,
,71,560,,,Jour,,1680,7,,
,866,561,,,Jour,,1740,7,,
,748,562,,,Jour,,129,5,,
,72,563,,,Jour,,1406,4,,
,508,564,,,Jour,,1352,7,,
,341,566,,,Jour,,897,5,,
,31,567,,,Jour,,61,7,,
,509,574,,,Jour,,1477,6,,
,8,575,,,Jour,,1556,1,,
,192,576,,,Jour,,1601,7,,
,56,577,,,Jour,,1434,6,,
,746,578,,,Jour,,284,6,,
,635,579,06/08/2014,,Jour,,1766,2,,
12/08/2014,142,579,,,Jour,,179,7,,
17/08/2014,917,579,18/08/2014,,Jour,,,,,
,614,580,,,Jour,,100,6,,
,666,581,,,Jour,,1807,6,,
,782,582,,,Jour,,1804,6,,
,498,583,,,Jour,,98,7,,
,202,584,,,Jour,,375,7,,
,775,585,,,Jour,,1925,5,,
,372,586,,,Jour,,1473,7,,
,109,587,,,Jour,,1556,2,,
,636,588,,,Jour,,1473,4,,
,210,589,,,Jour,,815,7,,
,104,591,,,Jour,,1557,5,,
,867,592,,,Jour,,1741,5,,
,773,593,,,Jour,,907,7,,
,88,594,,,Jour,,910,2,,
,327,595,,,Jour,,891,4,,
,701,596,,,Jour,,120,6,,
,52,597,,,Jour,,1443,7,,
,441,598,,,Jour,,890,7,,
,837,599,,,Jour,,1342,7,,
,304,601,,,Jour,,1524,4,,
,870,602,,,Jour,,279,7,,
,291,603,,,Jour,,137,6,,
,156,606,,,Jour,,136,1,,
,493,607,,,Jour,,1590,5,,
,803,608,,,Jour,,1624,6,,
,149,609,,,Jour,,1788,7,,
,641,610,,,Jour,,527,7,,
,222,611,,,Jour,,34,7,,
,847,612,,,Jour,,175,6,,
,6,613,,,Jour,,1765,1,,
,76,614,,,Jour,,1246,2,,
,337,615,19/08/2014,,Jour,,1129,6,,
26/08/2014,740,615,,,Jour,,765,4,,
,673,616,,,Jour,,112,6,,
,203,617,,,Jour,,1749,5,,
,229,618,,,Jour,,1283,5,,
,230,619,,,Jour,,1416,7,,
,668,620,,,Jour,,1463,7,,
,711,621,,,Jour,,1524,6,,
,704,622,,,Jour,,1379,7,,
,158,623,,,Jour,,1051,6,,
,235,624,,,Jour,,600,7,,
,628,625,,,Jour,,181,7,,
,237,626,,,Jour,,1444,5,,
,238,627,,,Jour,,1341,1,,
,221,628,07/08/2014,,Jour,,1405,6,,
08/08/2014,221,628,,,Jour,,1946,6,,
,240,629,,,Jour,,1866,6,,
,292,630,,,Jour,,282,4,,
,495,631,,,Jour,,282,6,,
,604,632,17/08/2014,,Jour,,54,6,,
,646,633,,,Jour,,1413,3,,
,845,634,,,Jour,,1796,7,,
,580,635,,,Jour,,108,4,,
,246,636,,,Jour,,1865,1,,
,646,637,,,Jour,,1413,5,,
,123,639,,,Jour,,1371,6,,
,250,640,,,Jour,,1945,7,,
,563,641,,,Jour,,1001,7,,
,255,642,,,Jour,,1789,7,,
,616,643,,,Jour,,1464,7,,
,113,644,,,Jour,,131,7,,
,46,645,13/08/2014,,Jour,,1345,5,,
,106,646,,,Jour,,1831,1,,
,392,647,05/08/2014,,Jour,,148,7,,
25/08/2014,392,647,,,Jour,,148,7,,
,112,648,,,Jour,,177,5,,
,188,649,,,Jour,,259,6,,
,480,650,,,Jour,,376,7,,
,433,651,,,Jour,,1686,6,,
,739,652,,,Jour,,1185,6,,
,263,653,,,Jour,,1706,6,,
,499,654,,,Jour,,738,6,,
