D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
07-Jan-22,3759,922761242,,Jour,,922761260,6,05-Apr-22,,
07-Jan-22,3760,922761195,,Nuit,,922761260,1,04-Apr-22,,
07-Jan-22,3760,1748N,,Nuit,,922761260,2,08-Mar-22,,
07-Jan-22,3760,6068,,Nuit,,922761260,3,04-Apr-22,,
07-Jan-22,4380,6968,,Jour,,922761260,7,04-Apr-22,,
07-Jan-22,246J,636J,,Jour,,922760324,1,26-Nov-22,,
07-Jan-22,4415,4652,,Jour,,922760324,2,15-Feb-22,,
07-Jan-22,840J,742J,,Jour,,922760324,5,25-Nov-22,,
07-Jan-22,3182,1197J,,Jour,,922760324,6,26-Nov-22,,
08-Jan-22,96J,922761149,,Jour,,90N,7,27-Jul-22,,
08-Jan-22,2165,300J,,Jour,,,5,21-May-22,,
07-Jan-22,3120,5130,,Jour,,201328136,4,01-Feb-22,,
07-Jan-22,217J,201328006,,Jour,,201328136,1,01-Feb-22,,
07-Jan-22,2878,7001,,Jour,,201328136,7,01-Feb-22,,
07-Jan-22,2165,5168,,Jour,,201328136,6,01-Feb-22,,
07-Jan-22,4153,7931,,Jour,,201328136,2,01-Feb-22,,
07-Jan-22,3870,898N,,Nuit,,922760686,2,06-Jul-22,,
07-Jan-22,3869,1694J,,Jour,,922760686,7,26-Jul-22,,
07-Jan-22,3348,8949,,Jour,,922760686,1,01-Dec-22,,
07-Jan-22,3347,8191,,Nuit,,922760686,4,30-Sep-22,,
07-Jan-22,846J,922760426,,Jour,,922760686,6,08-Jan-22,,
07-Jan-22,337N,1747N,,Nuit,,922760686,3,01-Dec-22,,
07-Jan-22,3949,922761082,,Nuit,,6691,2,27-Jan-22,,
05-Jan-22,4028,2014N,,Nuit,,1311N,2,01-Feb-22,,
07-Jan-22,4627,922761192,,Nuit,,922761185,1,30-Jan-22,,
02-Jan-22,778N,7201,,Nuit,,6806,3,07-Jul-22,,
06-Jan-22,2199,922759985,,Nuit,,201327819,2,25-Jan-22,,
07-Jan-22,3167,922759763,,Nuit,,922760358,2,27-Jan-22,,
07-Jan-22,3396,,,Nuit,,922760729,3,07-Jan-22,,
06-Jan-22,672N,1297N,,Nuit,,6151,1,01-Jul-22,,
06-Jan-22,4600,6895,,Nuit,,6971,3,20-Jun-22,,
06-Jan-22,4581,7235,,Nuit,,7043,3,10-May-22,,
07-Jan-22,4652,796N,,Nuit,,9975,3,15-Feb-22,,
06-Jan-22,2406,1205N,,Nuit,,8679,2,20-Jun-22,,
04-Jan-22,98N,2002N,,Nuit,,201328190,1,31-Mar-22,,
06-Jan-22,4350,922760532,,Nuit,,739N,3,25-Jan-22,,
06-Jan-22,37N,368N,,Nuit,,5890,2,16-Dec-22,,
08-Jan-22,3990,9281,,Nuit,,201327775,1,09-Jan-22,201327775,2
08-Jan-22,3990,201327688,,Nuit,,201327775,3,16-Dec-22,201327775,4
08-Jan-22,3989,7532,,Jour,,201327775,7,27-Aug-22,1100J,1
07-Jan-22,466N,519N,,Nuit,,9444,3,13-Jul-22,,
07-Jan-22,4418,861J,,Jour,,1499N,7,13-Oct-22,,
07-Jan-22,3749,679N,,Nuit,,1499N,1,01-Feb-22,,
07-Jan-22,4475,8941,,Nuit,,1499N,3,01-Feb-22,,
07-Jan-22,3483,9849,,Nuit,,1499N,2,16-Feb-22,,
07-Jan-22,4417,9313,,Nuit,,1499N,3,03-Jan-23,,
07-Jan-22,3474,9412,,Jour,,1499N,6,28-Mar-22,,
07-Jan-22,4786,922761268,,Nuit,,,,20-Feb-22,,
08-Jan-22,4787,2067N,,Jour,,,6,10-Jan-22,,7
10-Jan-22,2829,922760977,,Nuit,,,1,28-Jun-22,,
10-Jan-22,2829,6999,,Nuit,,,2,,,
10-Jan-22,2829,2190N,,Nuit,,,4,06-Dec-22,,
10-Jan-22,2829,922760065,,Nuit,,,4,,,
10-Jan-22,4788,201327670,,Jour,,,6,,,
10-Jan-22,4788,922760229,,Jour,,201328252,3,28-May-22,,
10-Jan-22,4788,9518,,Jour,,922761007,2,11-Jan-22,,
10-Jan-22,4788,5269,,Jour,,,1,03-Sep-22,,
10-Jan-22,4788,922760644,,Jour,,201328252,2,11-Oct-22,,
10-Jan-22,2072,10460,,Jour,,922761007,3,23-Nov-22,,
10-Jan-22,4152,10267,,Jour,,922761007,7,24-Jul-22,,
10-Jan-22,4788,2067N,,Jour,,201328252,6,29-Mar-22,,
10-Jan-22,156J,922760457,,Jour,,,6,23-Nov-22,,
10-Jan-22,156J,1232J,,Jour,,201328252,4,21-Nov-22,,
10-Jan-22,324J,606J,,Jour,,,,16-Jun-23,,
10-Jan-22,473J,201327521,,Jour,,201328252,5,18-Oct-22,,
10-Jan-22,4703,201327530,,Jour,,922761007,5,04-Apr-23,,
10-Jan-22,4703,430J,,Jour,,201328252,7,21-Nov-22,,
10-Jan-22,545J,6992,,Jour,,922761007,4,21-Feb-23,,
09-Oct-21,4789,6411,,Jour,,922761007,6,01-Jun-22,,
09-Jan-22,263J,922761269,,Jour,,,5,01-Oct-22,,
08-Jan-22,141N,922761270,,Nuit,,922760474,3,,,
