D_affect,P,N,Qualite,Horaire,Type,R,Jour,Arrêt,Placement,Jr_pl
14-Feb-17,2012,5471,,Nuit,,,3,19-Feb-17,,
14-Feb-17,2012,5647,,Nuit,,,1,19-Feb-17,,
14-Feb-17,596N,708N,,Nuit,,,4,16-Oct-17,,
14-Feb-17,2266,1195N,,Nuit,,,7,19-Mar-17,,
14-Feb-17,471N,7946,,Nuit,,,2,04-Apr-17,,
###############################################################################################################################################################################################################################################################,252N,2067N,,Nuit,,,2,15-Feb-17,,
14-Feb-17,2893,2067N,,Jour,,,,21-Feb-17,,
14-Feb-17,2513,6995,,Jour,,,6,15-Feb-17,,
14-Feb-17,2693,2067N,,Jour,,,,23-May-17,,
14-Feb-17,2920,2067N,,Nuit,,,,07-Mar-17,,
14-Feb-17,739J,652J,,Jour,,,6,02-Mar-17,,
14-Feb-17,361N,1517N,,Nuit,,,2,20-Feb-17,,
14-Feb-17,628N,1693J,,Nuit,,,7,05-Mar-17,,
14-Feb-17,21N,4679,,Nuit,,,3,28-Mar-17,,
14-Feb-17,36N,1275N,,Nuit,,,1,19-Feb-17,,
14-Feb-17,112N,96N,,Nuit,,,4,06-Apr-17,,
14-Feb-17,2209,818J,,Jour,,,6,09-Jul-17,,
14-Feb-17,970N,1071N,,Nuit,,,2,07-Mar-17,,
14-Feb-17,2390,2067N,,Jour,,,7,27-Mar-17,,
14-Feb-17,818J,7056,,Jour,,,7,21-Jun-18,,
15-Feb-17,469J,408J,,Jour,,2332N,7,23-Feb-17,,
15-Feb-17,2901,490J,,Jour,,8026,3,12-Apr-17,,
15-Feb-17,1J,2067N,,Jour,,7507,6,12-Mar-17,,
15-Feb-17,758J,1159J,,Jour,,7309,2,09-Aug-17,,
15-Feb-17,976N,2108N,,Nuit,,7759,2,21-Mar-17,,
15-Feb-17,2591,7727,,Jour,,5J,6,27-Feb-17,,
15-Feb-17,2933,2067N,,Nuit,,,,19-Mar-17,,
15-Feb-17,2934,2067N,,Jour,,,,21-Feb-17,,
15-Feb-17,2935,2067N,,Nuit,,,,20-Feb-17,,
15-Feb-17,2936,2067N,,Nuit,,,,13-Mar-17,,
15-Feb-17,51N,7988,,Nuit,,,3,23-Feb-17,,
15-Feb-17,978N,1165N,,Nuit,,,1,27-Feb-17,,
15-Feb-17,502N,2025N,,Nuit,,,4,15-Feb-17,,
15-Feb-17,2731,7555,,Jour,,,7,05-Mar-17,,
15-Feb-17,2593,525N,,Nuit,,,2,14-Mar-17,,
15-Feb-17,787N,1278N,,Nuit,,,3,01-Mar-17,,
###############################################################################################################################################################################################################################################################,502N,2067N,,Nuit,,,4,13-Mar-17,,
15-Feb-17,2466,6142,,Nuit,,1564J,1,20-Jul-17,,
15-Feb-17,617N,7704,,Nuit,,5434,2,05-Mar-17,,
15-Feb-17,2198,1065N,,Nuit,,6617,3,02-Apr-17,,
15-Feb-17,2790,7241,,Nuit,,7357,1,26-Feb-17,,
15-Feb-17,103N,6570,,Nuit,,,5,12-Mar-17,,
15-Feb-17,168N,2067N,,Nuit,,5817,4,05-Mar-17,,
15-Feb-17,325N,2067N,,Nuit,,1527N,3,16-Feb-17,,
15-Feb-17,658J,1281J,,Jour,,,,26-Feb-17,,
15-Feb-17,647N,447N,,Nuit,,1498J,2,26-Feb-17,,
15-Feb-17,2513,1956J,,Jour,,,6,12-Mar-17,,
15-Feb-17,252N,7256,,Nuit,,,2,11-Apr-17,,
15-Feb-17,2854,2067N,,Nuit,,7975,4,20-Feb-17,,
15-Feb-17,704N,966N,,Nuit,,7327,3,02-May-18,,
16-Feb-17,2843,2067N,,Nuit,,,3,20-Feb-17,,
16-Feb-17,2868,2067N,,Nuit,,,,05-Mar-17,,
16-Feb-17,846N,4713,,Nuit,,,1,06-Mar-17,,
16-Feb-17,211J,441J,,Jour,,,6,17-Mar-17,,
16-Feb-17,580N,685N,,Nuit,,,3,05-Apr-17,,
16-Feb-17,314N,7114,,Nuit,,,2,21-Feb-17,,
16-Feb-17,165N,2067N,,Nuit,,,4,20-Mar-17,,
16-Feb-17,2457,5198,,Jour,,,7,19-Mar-17,,
16-Feb-17,227J,7209,,Jour,,,7,04-May-17,,
16-Feb-17,373N,2361N,,Nuit,,,4,09-Mar-17,,
16-Feb-17,388N,1064N,,Nuit,,,1,02-Apr-17,,
16-Feb-17,651J,1838J,,Jour,,,6,17-Mar-17,,
16-Feb-17,426N,1006N,,Nuit,,,3,01-Mar-17,,
27-Feb-17,51N,7988,,Nuit,,,3,22-Mar-17,,
27-Feb-17,962N,6473,,Nuit,,8075,1,28-Feb-17,,
27-Feb-17,962N,2067N,,Nuit,,8075,2,01-Mar-17,,
27-Feb-17,71N,2067N,,Nuit,,,7,15-Mar-17,,
27-Feb-17,2787,646N,,Nuit,,7962,3,31-Mar-17,,
28-Feb-17,845N,6798,,Jour,,,2,14-Mar-17,,
28-Feb-17,546J,4514,,Jour,,8110,2,01-Mar-17,,
28-Feb-17,689J,8077,,Jour,,,6,10-Aug-17,,7
###############################################################################################################################################################################################################################################################,803N,2067N,,Nuit,,,3,02-Mar-17,,
28-Feb-17,2225,2067N,,Nuit,,7803,4,18-May-17,,
28-Feb-17,421N,1896N,,Nuit,,,2,04-Apr-17,,
28-Feb-17,2924,7736,,Nuit,,,,20-Mar-17,,
28-Feb-17,398N,6496,,Nuit,,,1,29-Aug-17,,
28-Feb-17,2313,2067N,,Nuit,,7959,2,02-Mar-17,,
28-Feb-17,2953,2067N,,Jour,,,,28-Feb-17,,
28-Feb-17,2954,5922,,Nuit,,,,11-Apr-17,,
28-Feb-17,2033,5959,,Nuit,,919N,1,15-Mar-17,,
28-Feb-17,196N,2067N,,Nuit,,1368N,2,25-May-17,,
28-Feb-17,1030N,5559,,Nuit,,7927,1,19-Jul-17,,
28-Feb-17,584N,7307,,Nuit,,,5,20-Mar-17,,
28-Feb-17,657J,2067N,,Jour,,7604,7,28-Feb-17,,
###############################################################################################################################################################################################################################################################,131N,2067N,,Nuit,,,2,10-Apr-17,,
28-Feb-17,2459,6062,,Jour,,6534,7,02-Mar-17,,
28-Feb-17,657J,7529,,Jour,,7604,7,12-Mar-17,,
28-Feb-17,2431,6012,,Jour,,7810,7,06-Mar-17,,
28-Feb-17,48N,2067N,,Nuit,,,2,23-May-17,,
28-Feb-17,2950,2067N,,Nuit,,,6,01-Mar-17,,
28-Feb-17,2800,2067N,,Jour,,7960,1,06-Mar-17,,
28-Feb-17,2953,7790,,Jour,,,,11-Apr-17,,
28-Feb-17,865N,5400,,Nuit,,6883,1,07-Mar-17,,
28-Feb-17,738J,670N,,Jour,,,,07-Mar-17,,
###############################################################################################################################################################################################################################################################,815J,2067N,,Jour,,7595,3,13-Mar-17,,
28-Feb-17,177J,554J,,Jour,,5J,7,21-Mar-17,,
28-Feb-17,959N,2067N,,Nuit,,,3,02-Mar-17,,
28-Feb-17,2159,5277,,Nuit,,,4,02-Mar-17,,
28-Feb-17,2783,1316N,,Nuit,,,3,05-Apr-17,,
28-Feb-17,2729,7742,,Nuit,,,2,04-Apr-17,,
###############################################################################################################################################################################################################################################################,414N,2067N,,Nuit,,6565,1,01-Apr-17,,
28-Feb-17,2951,461J,,Jour,,,7,28-Mar-17,,
###############################################################################################################################################################################################################################################################,962N,2067N,,Nuit,,8075,1,20-Mar-17,,
01-Mar-17,477J,2067N,,Jour,,1502J,6,22-May-17,,
01-Mar-17,2782,368J,,Jour,,,5,02-Aug-17,,
01-Mar-17,407J,4940,,Jour,,,6,27-Mar-17,,
01-Mar-17,2003,1221J,,Jour,,7446,4,28-Mar-17,,
01-Mar-17,2003,428J,,Jour,,7446,2,28-Mar-17,,
01-Mar-17,2003,6471,,Jour,,7446,5,28-Mar-17,,
01-Mar-17,2003,1117J,,Jour,,7446,1,28-Mar-17,,
01-Mar-17,2003,1996J,,Jour,,7446,3,28-Mar-17,,
01-Mar-17,673J,616J,,Jour,,7446,7,28-Mar-17,,
01-Mar-17,546J,2067N,,Jour,,8110,2,12-Mar-17,,
01-Mar-17,700J,5990,,Jour,,7144,7,08-May-17,,
01-Mar-17,342J,8093,,Jour,,,7,11-Oct-18,,
01-Mar-17,2917,8006,,Jour,,8073,3,21-Mar-17,,
01-Mar-17,2923,2067N,,Jour,,,1,06-Mar-17,,
01-Mar-17,2124,4499,,Jour,,5210,7,22-Aug-17,,
01-Mar-17,607J,4590,,Jour,,,6,29-Aug-18,,
01-Mar-17,2930,2067N,,Jour,,8082,3,14-Mar-17,,
01-Mar-17,648N,412N,,Nuit,,,3,12-Apr-17,,
01-Mar-17,151J,5438,,Jour,,,6,18-May-17,,
01-Mar-17,219N,7283,,Nuit,,,2,28-Mar-17,,
01-Mar-17,889N,258N,,Nuit,,,1,02-Apr-17,,
16-Feb-17,426N,2010N,,Nuit,,,2,01-Mar-17,,
16-Feb-17,317J,2067N,,Jour,,7702,7,20-Feb-17,,
16-Feb-17,2937,7941,,Nuit,,,,12-Mar-17,,
16-Feb-17,2937,5340,,Nuit,,7242,1,12-Mar-17,,
16-Feb-17,325N,1914N,,Nuit,,,4,31-Mar-17,,
16-Feb-17,325N,2067N,,Nuit,,1527N,4,23-Feb-17,,
16-Feb-17,2404,6286,,Nuit,,1527N,3,20-Mar-17,,
16-Feb-17,2408,614J,,Jour,,1527N,1,06-Mar-17,,
16-Feb-17,683J,7124,,Jour,,1527N,2,17-May-17,,
16-Feb-17,2112,2067N,,Jour,,6895,1,22-Feb-17,,
16-Feb-17,802J,2067N,,Jour,,6895,6,22-Feb-17,,
16-Feb-17,844N,7244,,Nuit,,6883,3,23-Feb-17,,
16-Feb-17,446J,5060,,Jour,,,,23-Feb-17,,
16-Feb-17,453J,2067N,,Jour,,6893,7,21-Feb-17,,
16-Feb-17,2373,8023,,Jour,,6759,6,06-Mar-17,,
16-Feb-17,2426,2067N,,Jour,,7446,7,22-Feb-17,,
16-Feb-17,257J,2067N,,Jour,,7030,6,22-Feb-17,,
16-Feb-17,683J,1230J,,Jour,,1069J,5,30-Nov-17,,
17-Feb-17,697J,2067N,,Jour,,6151,6,21-Feb-17,,
16-Feb-17,2425,2067N,,Jour,,,7,21-Feb-17,,
16-Feb-17,689J,2067N,,Jour,,,5,27-Feb-17,,
16-Feb-17,177J,2067N,,Jour,,5J,7,28-Feb-17,,
19-Feb-17,2895,874N,,Jour,,7938,7,13-Mar-17,,
19-Feb-17,2598,6731,,Jour,,,7,02-Mar-17,,
19-Feb-17,1022N,7740,,Nuit,,,1,27-Feb-17,,
19-Feb-17,1001N,6110,,Nuit,,,3,05-Apr-17,,
19-Feb-17,2872,6664,,Jour,,,7,19-Feb-17,,
19-Feb-17,2938,2067N,,Jour,,220J,7,21-Feb-17,,
19-Feb-17,2582,2067N,,Jour,,,1,21-Feb-17,,
19-Feb-17,28J,808J,,Jour,,1498J,7,20-Nov-17,,
19-Feb-17,350J,5296,,Jour,,,,30-Apr-21,,
19-Feb-17,36N,2067N,,Nuit,,,1,20-Feb-17,,
19-Feb-17,2794,2067N,,Nuit,,,4,23-Feb-17,,
19-Feb-17,939N,2067N,,Nuit,,,4,14-Mar-17,,
19-Feb-17,2207,384N,,Jour,,,4,20-Feb-17,,
19-Feb-17,2434,2067N,,Nuit,,,1,02-Mar-17,,
19-Feb-17,2371,2067N,,Nuit,,919N,5,28-Mar-17,,
19-Feb-17,2939,2067N,,Jour,,7516,6,05-Mar-17,7516,7
19-Feb-17,646N,776N,,Nuit,,7960,4,11-Jun-17,,
19-Feb-17,914N,2067N,,Nuit,,2288N,6,26-Feb-17,,
19-Feb-17,333N,2067N,,Nuit,,7962,1,01-Mar-17,,
19-Feb-17,63J,6160,,Jour,,,7,12-Mar-17,,
19-Feb-17,2784,2067N,,Jour,,,4,01-Apr-17,,
19-Feb-17,2784,5851,,Jour,,,3,25-Apr-17,,
19-Feb-17,2836,7299,,Jour,,7783,6,17-Sep-18,,
19-Feb-17,2836,759J,,Jour,,7783,7,17-Sep-18,,
19-Feb-17,2940,,,Jour,,,6,25-Apr-17,,7
19-Feb-17,2941,2067N,,Jour,,,,27-Feb-17,,
19-Feb-17,2872,2067N,,Jour,,,7,21-Feb-17,,
19-Feb-17,43J,825J,,Jour,,4972,2,26-Feb-17,,
19-Feb-17,2886,2067N,,Jour,,,,22-Feb-17,,
19-Feb-17,2749,7619,,Nuit,,,4,15-Mar-17,,
19-Feb-17,2749,7559,,Nuit,,,3,15-Mar-17,,
19-Feb-17,966N,4842,,Jour,,,7,19-Mar-17,,
19-Feb-17,725J,2067N,,Jour,,,6,23-Feb-17,,
19-Feb-17,2210,1996N,,Nuit,,,4,02-Mar-17,,
19-Feb-17,1004N,5778,,Nuit,,,1,16-Jun-17,,
19-Feb-17,106N,1027N,,Nuit,,,3,12-Mar-17,,
19-Feb-17,159J,6913,,Jour,,,7,05-Apr-17,,
19-Feb-17,962N,2067N,,Nuit,,,2,27-Feb-17,,
19-Feb-17,646J,2067N,,Jour,,374J,4,19-Mar-17,,
19-Feb-17,341N,2067N,,Nuit,,1902N,4,13-Mar-17,,
19-Feb-17,943N,2067N,,Nuit,,1827N,2,05-Mar-17,,
19-Feb-17,2095,7381,,Nuit,,5131,1,27-Feb-17,,
19-Feb-17,2201,2067N,,Nuit,,,2,20-Feb-17,,
19-Feb-17,39N,1403N,,Nuit,,,4,06-Apr-17,,
19-Feb-17,456N,6585,,Nuit,,,1,27-Feb-17,,
19-Feb-17,321N,4828,,Nuit,,,5,16-Apr-17,,
19-Feb-17,901N,941N,,Nuit,,,6,27-Mar-17,,
19-Feb-17,959N,1727N,,Nuit,,,3,20-Feb-17,,
19-Feb-17,626N,1977N,,Nuit,,,4,23-Mar-17,,
19-Feb-17,944N,5819,,Nuit,,,1,06-Mar-17,,
19-Feb-17,548N,7677,,Nuit,,,5,25-May-17,,
19-Feb-17,820N,1352N,,Nuit,,,2,28-Mar-17,,
19-Feb-17,2877,5144,,Nuit,,,7,21-Mar-17,,
19-Feb-17,165N,6797,,Nuit,,,3,22-Mar-17,,
20-Feb-17,317J,6865,,Jour,,7702,7,17-May-17,,
20-Feb-17,794N,2067N,,Nuit,,1N,4,20-Feb-17,,
20-Feb-17,2196,5233,,Nuit,,7702,3,05-Mar-17,,
20-Feb-17,794N,7481,,Nuit,,1N,4,26-Feb-17,,
20-Feb-17,829N,382N,,Nuit,,,6,27-Mar-17,,
20-Feb-17,525N,2067N,,Nuit,,,2,###############################################################################################################################################################################################################################################################,,
20-Feb-17,2854,7661,,Nuit,,7975,4,21-Feb-17,,
20-Feb-17,2207,2067N,,Jour,,,4,09-Mar-17,,
20-Feb-17,2201,384N,,Nuit,,,2,29-May-17,,
20-Feb-17,959N,6477,,Nuit,,,3,###############################################################################################################################################################################################################################################################,,
20-Feb-17,196J,1663J,,Jour,,7938,6,13-Mar-17,,
20-Feb-17,332J,2067N,,Jour,,6565,6,22-Feb-17,,
20-Feb-17,213J,2067N,,Jour,,,,22-Feb-17,,
20-Feb-17,228J,1178J,,Jour,,1509J,5,10-Jul-17,,
20-Feb-17,203J,7847,,Jour,,1869J,1,15-Aug-17,,
20-Feb-17,916N,7284,,Nuit,,5454,4,09-Mar-17,,
20-Feb-17,224N,2067N,,Nuit,,5911,2,23-Feb-17,,
20-Feb-17,801N,2067N,,Nuit,,,4,23-Feb-17,,
20-Feb-17,2912,6477,,Jour,,,1,20-Feb-17,,
20-Feb-17,2911,8058,,Nuit,,,,30-Oct-17,,
20-Feb-17,2821,2067N,,Nuit,,7627,3,30-Oct-17,,
20-Feb-17,850N,748N,,Nuit,,,4,28-Mar-17,,
20-Feb-17,361N,2382N,,Nuit,,,2,07-Mar-17,,
20-Feb-17,2741,7752,,Nuit,,7590,2,18-Jan-20,,
20-Feb-17,438N,202N,,Nuit,,890N,4,13-Feb-18,,
20-Feb-17,674J,8057,,Jour,,,6,09-May-17,,
20-Feb-17,827N,7680,,Nuit,,6883,4,26-Feb-17,,
20-Feb-17,24J,1399J,,Jour,,,3,26-Feb-17,,
20-Feb-17,921J,7365,,Jour,,7976,7,09-Mar-17,,
02-Feb-17,683J,1231J,,Jour,,1069J,4,30-Nov-17,,
20-Feb-17,2912,2067N,,Jour,,,1,26-Feb-17,,
02-Feb-17,2009,5313,,Nuit,,5812,2,21-Feb-17,,
20-Feb-17,2935,1013N,,Nuit,,,,21-Mar-17,,
###############################################################################################################################################################################################################################################################,920N,8049,,Nuit,,7031,3,26-Feb-17,,
###############################################################################################################################################################################################################################################################,36N,7820,,Nuit,,,1,23-Feb-17,,
20-Feb-17,1035N,873N,,Nuit,,6564,1,02-May-17,,
20-Feb-17,2843,4889,,Nuit,,,3,23-Feb-17,,
20-Feb-17,841N,8070,,Nuit,,1499N,4,23-Feb-17,,
20-Feb-17,193N,8069,,Nuit,,,4,28-Mar-17,,
20-Feb-17,249N,847N,,Nuit,,817J,4,23-May-17,,
20-Feb-17,117N,6297,,Nuit,,1517N,1,31-Jul-17,,
20-Feb-17,131N,8068,,Nuit,,,,02-Mar-17,,
09-Feb-17,2766,6548,,Nuit,,7679,7,02-Mar-17,,
17-Feb-17,794N,8004,,Nuit,,1N,3,26-Feb-17,,
21-Feb-17,2942,2067N,,Nuit,,,,01-Mar-17,,
21-Feb-17,2943,904N,,Jour,,,,23-Feb-17,,
21-Feb-17,2271,237N,,Nuit,,,,31-Mar-17,,
21-Feb-17,2944,5709,,Nuit,,,,15-Mar-17,,
21-Feb-17,2582,5471,,Jour,,,1,13-Sep-17,,
21-Feb-17,184J,2067N,,Jour,,7729,7,27-Feb-17,,
21-Feb-17,2872,952J,,Jour,,,7,26-Feb-17,,
21-Feb-17,2854,2067N,,Nuit,,7975,4,26-Feb-17,,
21-Feb-17,865N,670N,,Nuit,,6883,1,28-Feb-17,,
21-Feb-17,738J,5400,,Jour,,,,28-Feb-17,,
21-Feb-17,330J,489J,,Jour,,6895,7,26-Dec-17,,
21-Feb-17,453J,7897,,Jour,,6893,7,09-Mar-17,,
21-Feb-17,502J,835J,,Jour,,98J,5,29-May-17,,
21-Feb-17,293J,2067N,,Jour,,7645,3,26-Feb-17,,
21-Feb-17,697J,7363,,Jour,,6151,6,12-Mar-17,,
21-Feb-17,2934,4748,,Jour,,,,06-Mar-17,,
21-Feb-17,2938,8060,,Jour,,220J,7,08-Nov-17,,
21-Feb-17,70J,2067N,,Jour,,,7,03-Sep-17,,
21-Feb-17,2903,8063,,Jour,,,,30-Aug-17,,
21-Feb-17,2945,8029,,Jour,,,,07-Mar-17,,
21-Feb-17,2893,8059,,Jour,,,,17-Mar-17,,
21-Feb-17,700J,2067N,,Jour,,7144,7,01-Mar-17,,
21-Feb-17,2425,6298,,Jour,,,4,22-Mar-17,,
21-Feb-17,1981,520N,,Nuit,,7166,1,22-May-17,,
21-Feb-17,906N,6009,,Nuit,,6774,1,21-Mar-17,,
21-Feb-17,2009,2366N,,Nuit,,5812,1,20-Aug-17,,
21-Feb-17,314N,7114,,Nuit,,5479,2,02-Mar-17,,
21-Feb-17,44N,2082N,,Nuit,,7629,7,05-Mar-17,,
21-Feb-17,770N,6523,,Nuit,,39N,1,12-Mar-17,,
21-Feb-17,2875,5726,,Nuit,,,1,02-Apr-17,,
21-Feb-17,2729,7742,,Nuit,,7528,2,28-Feb-17,,
21-Feb-17,2727,7577,,Nuit,,8064,2,13-Jun-17,,
21-Feb-17,2278,5488,,Nuit,,1799N,6,15-Jan-18,,
21-Feb-17,12N,7592,,Nuit,,6895,4,06-Mar-17,,
21-Feb-17,2780,2067N,,Nuit,,5595,7,###############################################################################################################################################################################################################################################################,,
21-Feb-17,876N,7911,,Nuit,,1625N,4,15-Mar-17,,
21-Feb-17,2915,2067N,,Nuit,,,,02-Mar-17,,
21-Feb-17,2488,4497,,Nuit,,6759,2,23-Feb-17,,
21-Feb-17,2515,854J,,Nuit,,7649,2,23-Mar-17,,
21-Feb-17,680N,8056,,Nuit,,7521,5,11-Jun-17,,
21-Feb-17,1022N,7736,,Nuit,,1517N,2,27-Feb-17,,
21-Feb-17,2937,7029,,Nuit,,,,22-Nov-17,,
22-Feb-17,70J,2067N,,Jour,,,7,04-Oct-17,,
22-Feb-17,2784,346J,,Jour,,8092,3,02-Apr-17,,
22-Feb-17,257J,308J,,Jour,,7030,6,12-Mar-17,,
22-Feb-17,95J,411J,,Jour,,1547J,7,19-Apr-17,,
22-Feb-17,2842,7967,,Jour,,8089,3,19-Apr-17,,
22-Feb-17,213J,109N,,Jour,,,6,16-Jun-17,,
22-Feb-21,2200,8108,,Jour,,,6,12-Mar-17,,
22-Feb-17,1025N,8065,,Nuit,,5J,4,21-Aug-18,,
22-Feb-17,2124,2067N,,Jour,,5210,7,01-Mar-17,,
22-Feb-17,2112,7546,,Jour,,6895,1,09-Mar-17,,
22-Feb-17,261J,8095,,Jour,,6084,7,###############################################################################################################################################################################################################################################################,,
22-Feb-17,332J,6788,,Jour,,6565,6,13-Mar-17,,
22-Feb-17,689J,6613,,Jour,,,2,05-Jul-17,,
###############################################################################################################################################################################################################################################################,134J,8091,,Jour,,,4,14-Mar-17,,
22-Feb-17,802J,8112,,Jour,,6895,6,09-Mar-17,,
22-Feb-17,424J,929J,,Jour,,7367,6,19-Apr-17,,
22-Feb-17,602J,8067,,Jour,,,,31-Mar-17,,
22-Feb-17,2886,8094,,Jour,,,,07-Mar-17,,
22-Feb-17,2946,2067N,,Jour,,,,26-Feb-17,,
22-Feb-17,2947,2067N,,Nuit,,,,01-Mar-17,,
22-Feb-17,2947,2067N,,Nuit,,,,26-Feb-17,,
22-Feb-17,2871,1728N,,Nuit,,6579,2,09-Mar-17,,
22-Feb-17,2884,7774,,Nuit,,6579,3,11-Jan-18,,
22-Feb-17,2884,1073N,,Nuit,,6579,4,11-Jan-18,,
22-Feb-17,2883,7023,,Jour,,6579,6,11-Jan-18,,
22-Feb-17,2870,853J,,Jour,,6579,7,03-Jan-18,,
23-Feb-17,2843,4889,,Nuit,,7976,4,19-Apr-17,,
23-Feb-17,2358,627N,,Nuit,,7671,4,02-May-17,,
23-Feb-17,669N,7923,,Nuit,,,4,24-Sep-17,,
23-Feb-17,51N,2067N,,Nuit,,,3,27-Feb-17,,
23-Feb-17,160N,277N,,Nuit,,,1,02-Apr-17,,
23-Feb-17,143N,558N,,Nuit,,,2,17-Mar-17,,
23-Feb-17,296N,7713,,Nuit,,,7,12-Mar-17,,
23-Feb-17,825N,7767,,Nuit,,,3,15-Mar-17,,
23-Feb-17,422N,707N,,Nuit,,,5,28-Mar-17,,
23-Feb-17,2943,2067N,,Jour,,,,13-Mar-17,,
23-Feb-17,973N,2067N,,Nuit,,7454,2,15-Mar-17,,
23-Feb-17,2863,2067N,,Nuit,,,7,27-Mar-17,,
23-Feb-17,2N,2067N,,Nuit,,1455N,1,26-Feb-17,,
23-Feb-17,2794,5988,,Nuit,,,4,06-Apr-17,,
23-Feb-17,725J,2067N,,Jour,,7048,6,09-Mar-17,,
23-Feb-17,870J,2067N,,Jour,,,4,23-Feb-17,,
23-Feb-17,367J,7613,,Jour,,1656N,6,26-Feb-17,,
23-Feb-17,905J,510J,,Jour,,,7,01-Oct-19,,
23-Feb-17,870J,1908J,,Jour,,,4,31-Mar-17,,
23-Feb-17,870J,7925,,Jour,,,7,22-Mar-17,,
23-Feb-17,2898,7990,,Nuit,,,,20-Apr-17,,
23-Feb-17,801N,2067N,,Nuit,,1880N,4,14-Mar-17,,
23-Feb-17,2488,7888,,Nuit,,6759,2,23-Feb-17,,
23-Feb-17,815N,8079,,Nuit,,7471,3,02-May-17,,
23-Feb-17,105N,8090,,Nuit,,,2,07-Mar-17,,
23-Feb-17,932N,7554,,Nuit,,8088,4,07-May-17,,
23-Feb-17,325N,7263,,Nuit,,1527N,4,21-Mar-17,,
23-Feb-17,446J,7244,,Jour,,,,02-Mar-17,,
23-Feb-17,844N,5060,,Nuit,,6883,3,02-Mar-17,,
23-Feb-17,856N,1081N,,Nuit,,7759,1,22-Aug-17,,
23-Feb-17,36N,369N,,Nuit,,8104,4,08-Aug-17,,
23-Feb-17,36N,7820,,Nuit,,8104,1,27-Feb-17,,
23-Feb-17,2929,2067N,,Jour,,,,20-Jun-17,,
23-Feb-17,119N,270N,,Nuit,,7700,6,20-Aug-17,,
23-Feb-17,177J,1214J,,Jour,,,5,13-Jul-17,,
23-Feb-17,177J,553J,,Jour,,,6,07-Aug-17,,
23-Feb-17,2116,5076,,Nuit,,5197,4,21-Mar-17,,
23-Feb-17,2116,335N,,Nuit,,5197,3,21-Mar-17,,
23-Feb-17,469J,408J,,Jour,,,7,###############################################################################################################################################################################################################################################################,,
23-Feb-17,2515,5306,,Nuit,,2332N,1,09-Mar-17,,
23-Feb-17,2488,7888,,Nuit,,,2,23-Feb-17,,
23-Feb-17,2516,1091N,,Jour,,2332N,7,09-Apr-17,,
23-Feb-17,2047,1264N,,Jour,,6759,7,10-Oct-17,,
23-Feb-17,2039,5719,,Nuit,,6759,2,10-Oct-17,,
23-Feb-17,1016N,7245,,Nuit,,,3,13-Mar-17,,
23-Feb-17,1016N,6177,,Nuit,,,4,26-Feb-17,,
23-Feb-17,2352,7858,,Jour,,,6,02-Mar-17,,
23-Feb-17,2117,4985,,Jour,,5197,6,02-Nov-17,,
23-Feb-17,2364,6058,,Nuit,,,4,26-Feb-17,,
23-Feb-17,2364,6059,,Nuit,,,3,26-Feb-17,,
23-Feb-17,2825,5330,,Nuit,,1481J,3,01-Apr-18,,
23-Feb-17,2825,1953N,,Nuit,,1481J,4,08-Mar-18,,
23-Feb-17,2824,7081,,Jour,,1481J,7,26-Feb-19,,
23-Feb-17,2368,6979,,Jour,,,7,26-Feb-17,,
23-Feb-17,2706,1698J,,Jour,,6275,5,11-Apr-17,,
23-Feb-17,2286,655N,,Nuit,,,3,20-Mar-17,,
23-Feb-17,2288,742N,,Jour,,,6,17-Mar-17,,
23-Feb-17,2455,942J,,Jour,,1499N,6,16-Oct-17,,
23-Feb-17,2102,4528,,Nuit,,1499N,4,05-Mar-17,,
23-Feb-17,841N,8070,,Nuit,,,4,31-Mar-17,,
23-Feb-17,364N,6285,,Nuit,,,1,27-Feb-17,,
23-Feb-17,183J,1034J,,Jour,,,6,27-Feb-17,,
23-Feb-17,429J,5145,,Jour,,,4,02-Mar-17,,
23-Feb-17,2488,7888,,Nuit,,,2,27-Feb-17,,
23-Feb-17,858J,449J,,Jour,,,7,12-Mar-17,,
23-Feb-17,630N,1942J,,Nuit,,,2,26-Feb-17,,
23-Feb-17,2025,420N,,Nuit,,2161N,1,06-Mar-17,,
23-Feb-17,2025,297N,,Nuit,,2161N,2,19-Apr-17,,
23-Feb-17,2024,857J,,Jour,,2161N,7,19-Apr-17,,
23-Feb-17,2024,7406,,Jour,,2161N,5,###############################################################################################################################################################################################################################################################,,
23-Feb-17,2024,4573,,Jour,,2161N,4,19-Apr-17,,
23-Feb-17,2024,1142J,,Jour,,2161N,6,28-Mar-17,,
23-Feb-17,224N,904N,,Nuit,,5911,2,07-Jun-17,,
23-Feb-17,465N,2067N,,Nuit,,7702,1,27-Feb-17,,
23-Feb-17,2924,2067N,,Nuit,,,,28-Feb-17,,
23-Feb-17,2924,2067N,,Nuit,,,,26-Feb-17,,
26-Feb-17,708N,7775,,Nuit,,7810,1,04-Apr-17,,
26-Feb-17,122N,752N,,Nuit,,61J,5,17-Jan-18,,
26-Feb-17,3N,2067N,,Nuit,,1363N,2,09-Mar-17,,
26-Feb-17,448N,1942J,,Nuit,,1625N,3,02-Mar-17,,
26-Feb-17,630N,2067N,,Nuit,,,2,27-Feb-17,,
26-Feb-17,2301,7399,,Nuit,,5886,3,13-Mar-17,,
26-Feb-17,2301,5868,,Nuit,,5886,1,31-Jan-18,,
26-Feb-17,221N,273N,,Nuit,,5812,6,18-Apr-17,,
